id,id_taxonref,plot_name,taxaname,taxonref,family,genus,species,infra,id_rank,dbh,height,strata,flower,fruit,month_obs,bark_thickness,leaf_area,leaf_ldmc,leaf_sla,leaf_thickness,wood_density,elevation,rainfall,holdridge,province,in_forest,in_um,geo_pt
4345,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,7.00,,,false,false,11,,,,,,,754,3070,3,,false,true,POINT (166.60523987 -22.13049698)
4346,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,7.50,,,false,false,11,,,,,,,754,3070,3,,false,true,POINT (166.60523987 -22.13049698)
4347,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,10.00,,,false,false,11,,,,,,,754,3070,3,,false,true,POINT (166.60523987 -22.13049698)
4390,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.50,,,false,false,3,,,,,,,13,2550,,,false,true,POINT (167.00750732 -22.25722313)
4391,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.70,,,false,false,3,,,,,,,13,2550,,,false,true,POINT (167.00750732 -22.25722313)
4392,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,7.00,,,false,false,3,,,,,,,13,2550,,,false,true,POINT (167.00750732 -22.25722313)
4382,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.10,,,false,false,1,,,,,,,296,2820,3,,false,true,POINT (166.99372864 -22.27305603)
4383,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.00,,,false,false,1,,,,,,,296,2820,3,,false,true,POINT (166.99372864 -22.27305603)
4384,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.40,,,false,false,1,,,,,,,293,2820,3,,false,true,POINT (166.99455261 -22.27308273)
4385,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,9.20,,,false,false,1,,,,,,,293,2820,3,,false,true,POINT (166.99455261 -22.27308273)
4379,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,7.30,,,false,false,12,,,,,,,268,2820,3,,false,true,POINT (166.9932251 -22.27527809)
4380,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,8.00,,,false,false,12,,,,,,,268,2820,3,,false,true,POINT (166.9932251 -22.27527809)
4381,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,8.30,,,false,false,12,,,,,,,268,2820,3,,false,true,POINT (166.9932251 -22.27527809)
4543,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,25,,false,true,10,,,,,,,537,2170,2,,false,false,POINT (165.1064516 -20.981288)
4549,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,40,20,,true,false,7,,,,,,,355,1760,2,,false,false,POINT (165.4575505 -21.4264237)
4545,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,,,true,false,9,,,,,,,593,2480,2,,false,false,POINT (165.3005759 -21.1714564)
4540,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,11,,false,false,8,,,,,,,667,1760,2,,false,false,POINT (164.52783 -20.3995007)
4538,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,13,,false,false,12,,,,,,,497,1600,2,,false,false,POINT (164.5164329 -20.4084899)
4547,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,,,false,false,11,,,,,,,434,2270,2,,false,false,POINT (165.3202876 -21.1503404)
4554,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,15,,false,false,4,,,,,,,902,2310,3,,false,false,POINT (166.0597222 -21.6305556)
4544,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,,,false,true,8,,,,,,,430,2740,3,,false,false,POINT (165.2329924 -21.017049)
4546,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,9,,false,false,3,,,,,,,681,2350,3,,false,false,POINT (165.3033762 -21.1779231)
4553,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,65,10,,false,false,8,,,,,,,438,1610,2,,false,false,POINT (165.6911553 -21.5301293)
4548,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,70,30,,false,false,10,,,,,,,1015,2710,3,,false,true,POINT (165.3729746 -21.4194153)
4539,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,,,false,false,4,,,,,,,545,1760,2,,false,false,POINT (164.525206 -20.4073358)
4555,1696,,Agathis corbassonii,Agathis corbassonii de Laub.,Araucariaceae,Agathis,Agathis corbassonii,,21,,,,false,false,5,,,,,,,22,1060,1,,false,false,POINT (166.32481 -22.1065862)
